M/Z,Intensity
356.26569,3716
356.26976,3434
356.33855,3670
356.3717,6570
357.06981,52270
357.0847,271940
357.10229,56915
357.11036,37217
357.1148,69201
357.12308,8830
357.12727,47447
357.13852,4520
357.1598,6522
357.17687,16129
357.18815,83682
357.1993,15589
357.21322,14121
357.22444,77317
357.24965,48737
358.06501,29342
358.07315,9534
358.08803,49243
358.09888,30747
358.11014,36853
358.11824,12687
358.12268,82101
358.1307,6589
358.13509,3798
358.15495,69654
358.1721,43683
358.18337,30407
358.19154,5798
358.20852,41238
358.21967,32342
358.22777,5345
358.24485,4944
358.25304,3254
358.25613,3321
358.28537,48688
359.06622,13825
359.08546,196922
359.09401,32052
359.10035,10640
359.10247,8972
359.10663,22534
359.11794,61814
359.12607,15445
359.13052,15204
359.13906,3423
359.15608,16028
359.15834,7526
359.16728,42501
359.17534,4203
359.19248,16925
359.20382,150979
359.24015,401263
359.28059,55138
359.90361,35392
360.08077,161581
360.08881,60762
360.09325,12531
360.10179,56687
360.11435,22688
360.12117,8994
360.12567,10378
360.1343,6126
360.13831,27492
360.15145,18231
360.16671,8530
360.17078,8849
360.18769,3359
360.19184,17129
360.19894,160734
360.20705,16168
360.23547,160351
360.24361,63838
360.26468,3306
360.28389,4677
360.30097,4771
360.66592,33751
361.0819,568654
361.08349,52240
361.10126,391306
361.10976,20721
361.12226,20766
361.13344,34723
361.15466,75366
361.18315,942263
361.21938,171145
361.2387,17492
361.29632,5578
361.35781,4174
362.06605,17696
362.0852,121441
362.09639,338819
362.10448,125802
362.10896,78791
362.11754,71160
362.15819,7945
362.18629,145781
362.22288,20419
362.23995,7638
362.28021,6233
362.29149,3768
362.32665,16228
363.09168,90586
363.09777,32391
363.09979,103678
363.10428,121016
363.11283,87475
363.11684,226073
363.18749,15277
363.19875,106337
363.20314,51060
363.20672,9094
363.21386,9738
363.7048,4975
364.06524,78438
364.08831,29359
364.09688,42856
364.09957,61668
364.1076,33962
364.11207,210598
364.12014,75324
364.12456,59018
364.13311,34032
364.16157,6388
364.16499,12720
364.20201,19870
364.30709,282880
364.36878,7374
365.0835,35527
365.09193,15715
365.096,19217
365.10547,197469
365.10717,74918
365.11533,63415
365.11983,85600
365.12842,83529
365.13244,57568
365.19312,20679
365.21835,8882
365.22952,22007
365.29119,12719
365.31055,60196
366.06756,24448
366.09125,39872
366.10383,120975
366.10883,23702
366.11242,52520
366.11514,35117
366.12327,20937
366.12778,73823
366.13184,12671
366.13602,13862
366.13945,10109
366.17712,27367
366.18832,64264
366.21355,10958
366.21776,9489
367.02471,25363
367.06279,10341
367.08654,15677
367.09916,115570
367.11177,76750
367.12303,36972
367.13112,13409
367.13558,11325
367.1442,34043
367.16118,4272
367.17238,7223
367.19634,11819
367.20897,23685
367.24526,12620
367.25928,4423
367.40486,7893
368.06211,13191
368.08322,38776
368.09439,21376
368.10247,26026
368.10694,129738
368.11506,14924
368.11952,73607
368.12815,25178
368.14342,9011
368.1565,6289
368.19276,25918
368.20401,35743
368.22933,31122
368.2335,5738
368.24048,21182
369.07851,13774
369.09101,10292
369.10219,67683
369.11025,30431
369.11473,65415
369.12317,32178
369.12732,53154
369.13855,6846
369.15172,7184
369.1599,7250
369.17659,20196
369.18809,34321
369.1993,28795
369.21319,5551
369.22444,37345
369.24972,9999
370.07777,78714
370.08631,18184
370.09764,6702
370.10743,17850
370.11006,17097
370.1226,96879
370.13067,7662
370.1351,5560
370.14375,9781
370.17217,20346
370.18343,5784
370.20848,10514
370.21965,16559
370.24486,7203
370.25612,20457
370.28147,3193
370.28553,4325
371.04301,69069
371.07289,53984
371.08106,20057
371.08546,3525
371.10266,23279
371.10672,51548
371.11797,59653
371.12604,20799
371.13048,20809
371.13907,10142
371.14362,4823
371.15603,3549
371.1673,6860
371.19257,6583
371.20383,36708
371.21503,20843
371.22898,7687
371.24013,61737
371.3858,25989
372.04637,6640
372.05089,4334
372.06828,4452
372.07639,8171
372.09335,236681
372.10185,57498
372.10996,7014
372.1131,9893
372.12123,7255
372.12565,10587
372.13828,31523
372.18782,28293
372.199,66929
372.22419,52965
372.23536,13766
372.24352,3629
372.26073,10441
372.30099,76870
373.04969,19022
373.05857,372935
373.08864,199002
373.09683,81254
373.10125,60712
373.10529,7643
373.10979,24902
373.11841,13473
373.12237,32171
373.13357,28587
373.17172,15932
373.18309,88948
373.21248,30981
373.21955,83214
373.25576,49106
373.29632,72175
373.30455,11846
374.06203,71797
374.08396,48065
374.09204,59098
374.09647,93348
374.10899,269472
374.1175,49343
374.12876,9368
374.1671,4498
374.18229,3898
374.21465,198447
374.2228,5117
374.23997,13614
374.25116,402339
374.27634,3720
374.28038,4253
374.29148,78199
374.29955,6901
375.05673,19791
375.0742,8334
375.09163,46960
375.10428,223093
375.11255,104060
375.1169,117200
375.12543,12209
375.19866,308938
375.20992,5745
375.21805,23622
375.22403,11878
375.23524,640574
375.25451,66197
376.09955,55154
376.10768,69684
376.11213,166916
376.12037,41934
376.1247,91163
376.13323,32231
376.19405,81930
376.20217,50061
376.23844,105769
376.2962,6714
376.30738,111990
377.07691,82366
377.09218,18936
377.09624,69353
377.10478,23400
377.10745,82958
377.11552,49745
377.11995,83958
377.12838,79491
377.13242,56755
377.17813,644121
377.20328,9787
377.21446,51576
377.22246,31574
377.23942,25135
377.31062,18962
378.07146,20807
378.0847,54692
378.09144,80374
378.09969,22849
378.1039,11452
378.11248,37055
378.11512,24751
378.12339,27004
378.12768,79865
378.1317,9918
378.13593,14527
378.14025,6777
378.14487,19202
378.18155,93496
378.21767,9113
378.38457,5867
379.06682,46546
379.0756,24251
379.0927,3419034
379.10771,91369
379.11174,135077
379.12292,40621
379.13102,17131
379.13545,13059
379.1441,48717
379.17604,5417
379.18255,4330
379.19768,4383
379.20891,54212
379.30698,6283
380.09601,690697
380.10703,143776
380.11103,14484
380.11515,41698
380.11958,32610
380.12814,21500
380.14337,11340
380.19291,13578
380.19714,3310
380.2039,12596
380.2122,2799
380.22917,3858
380.24036,3913
381.0699,30459
381.0796,57120
381.09114,9496
381.09703,27313
381.09944,65181
381.10237,46413
381.10843,40597
381.11044,38418
381.11493,70661
381.12347,101754
381.12746,66563
381.15977,12259
381.18811,11962
381.19941,8051
381.22461,12962
381.37016,7921
381.38422,14498
382.06515,15073
382.08284,5686
382.10744,20026
382.11007,34171
382.11826,13255
382.12272,96183
382.12679,15965
382.13095,18365
382.13531,8804
382.1721,3187
382.18329,6637
382.20857,24347
382.21983,27579
382.24501,5317
382.25611,9827
382.39053,4589
383.06406,103155
383.08555,140866
383.09404,19367
383.10251,7162
383.10663,8774
383.11788,53939
383.12602,21865
383.13048,31949
383.13917,66969
383.14311,6798
383.16533,23332
383.16743,12906
383.19253,7753
383.20371,54665
383.21494,395344
383.24019,21970
383.38585,44312
383.39975,10290
384.06736,15567
384.08088,123804
384.08903,47720
384.10204,31623
384.11464,24678
384.12575,14969
384.13383,6423
384.1383,43633
384.14246,6846
384.15131,4726
384.15554,4150
384.1708,12296
384.18785,28235
384.19912,26964
384.21846,62352
384.22418,20035
384.23537,31424
384.27183,12778
384.30132,5356
384.38938,4527
385.07604,29756
385.07967,9218
385.08414,35695
385.10122,348522
385.10977,27240
385.11826,9114
385.12241,20364
385.13369,40802
385.14178,5554
385.15489,19324
385.17174,4771
385.18296,12906
385.21954,71102
385.23081,116046
385.25607,221417
385.26708,6065
385.26993,5632
385.2962,23336
386.04732,25005
386.09662,330990
386.10471,122246
386.10911,65808
386.11763,66240
386.17834,7899
386.20359,41876
386.21481,95864
386.23401,10196
386.23985,26632
386.25102,37436
386.25927,32982
386.31681,91984
387.0917,98200
387.09979,105958
387.10423,106008
387.1127,61605
387.11683,271350
387.14938,13448
387.18747,26951
